storename,postcode,lat,long
Winchester ,SO23 9BL,51.0623042,-1.3143948
Brighton,BN1 1AH,50.8225436,-0.1427239
Kingston upon Thames,KT1 1SZ,51.4113704,-0.3035809
Chichester,PO19 1HS ,50.8364555,-0.7766433
spitalfields,E1 6AA ,51.5191869,-0.0758566
