date,area,avgPrice
01/01/2013,Wakefield,107726.8318
01/01/2013,Wales,115906.5796
01/01/2013,Walsall,111889.451
01/01/2013,Waltham Forest,253861.4082
01/01/2013,Wandsworth,436114.1848
01/01/2013,Warrington,139343.1133
01/01/2013,Warwickshire,166624.9185
01/01/2013,West Berkshire,222963.0091
01/01/2013,West Midlands,114302.8942
01/01/2013,West Midlands (region),129459.5081
01/01/2013,West Sussex,208765.0273
01/01/2013,West Yorkshire,106417.634
01/01/2013,Wigan,87431.63058
01/01/2013,Wiltshire,180191.6625
01/01/2013,Windsor And Maidenhead,334314.2924
01/01/2013,Wirral,111519.4404
01/01/2013,Wokingham,270563.0773
01/01/2013,Wolverhampton,96278.81951
01/01/2013,Worcestershire,161174.4158
01/01/2013,Wrekin,122950.5116
01/01/2013,Wrexham,117623.4672
01/01/2013,York,177618.2319
01/01/2013,Yorks & Humber,114578.1773
