Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2.01E+12,519150,261530,-0.256469,52.239035,35,3,2,1,26/01/2012,5,08:21,393,E10000003,4,1043,1,40,1,4,6,0,0,0,1,1,2,0,0,2,2,E01018189
2.01E+12,531960,272130,-0.064829,52.33136,35,3,2,1,26/01/2012,5,18:05,393,E10000003,3,1123,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01018167
2.01E+12,518720,264310,-0.261787,52.264109,35,3,2,2,27/01/2012,6,05:50,393,E10000003,3,1,3,70,3,4,6,0,0,0,6,8,2,0,0,2,1,E01018119
2.01E+12,529880,268090,-0.096894,52.295555,35,3,1,1,28/01/2012,7,19:30,393,E10000003,4,1040,6,60,0,-1,-1,0,0,0,6,8,2,0,0,2,1,E01018129
2.01E+12,528550,264640,-0.1177,52.264867,35,3,1,1,30/01/2012,2,07:38,393,E10000003,4,1040,6,60,0,-1,-1,0,0,0,6,1,1,0,7,2,1,E01018204
2.01E+12,525150,272380,-0.164621,52.335201,35,3,2,1,31/01/2012,3,17:26,393,E10000003,4,1514,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01018142
2.01E+12,525190,292650,-0.156449,52.517329,35,3,2,1,31/01/2012,3,17:30,393,E10000003,4,1095,6,60,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01018213
2.01E+12,531300,271420,-0.074786,52.325139,35,3,1,1,01/02/2012,4,05:35,393,E10000003,6,0,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01018168
2.01E+12,517290,283300,-0.276103,52.435066,35,3,2,1,01/02/2012,4,20:15,393,E10000003,6,0,6,30,3,4,6,0,0,0,1,9,2,0,0,2,2,E01018195
2.01E+12,523630,281680,-0.18349,52.419113,35,3,2,2,03/02/2012,6,08:15,393,E10000003,5,109,6,60,0,-1,-1,0,0,0,1,1,4,0,0,2,1,E01018207
2.01E+12,525790,273270,-0.1549,52.343052,35,3,2,1,04/02/2012,7,15:14,393,E10000003,3,141,6,50,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01018141
2.01E+12,532170,272620,-0.061557,52.335712,35,3,2,1,04/02/2012,7,15:46,393,E10000003,4,1040,6,40,0,-1,-1,0,0,0,1,8,1,0,0,2,1,E01018163
2.01E+12,523890,274360,-0.182374,52.353278,35,3,4,6,08/02/2012,4,13:18,393,E10000003,3,141,1,40,1,4,5,115,0,0,1,1,2,0,0,1,1,E01018146
2.01E+12,519830,258810,-0.247479,52.214444,35,3,3,2,09/02/2012,5,07:40,393,E10000003,3,428,6,60,0,-1,-1,0,0,0,1,8,2,0,0,2,1,E01018135
2.01E+12,514780,266900,-0.318613,52.28822,35,3,1,1,09/02/2012,5,08:33,393,E10000003,4,661,6,30,0,-1,-1,0,0,0,1,1,4,0,0,2,1,E01018115
2.01E+12,524380,272410,-0.175904,52.335645,35,3,2,2,09/02/2012,5,16:45,393,E10000003,6,0,6,30,3,4,6,0,0,0,1,3,2,0,0,1,1,E01018143
2.01E+12,529180,288330,-0.099356,52.477583,35,3,2,1,10/02/2012,6,20:00,393,E10000003,5,86,6,60,0,-1,-1,0,0,0,6,7,2,0,0,2,1,E01018157
2.01E+12,525490,270390,-0.160375,52.317241,35,3,2,1,12/02/2012,1,15:46,393,E10000003,3,1198,6,60,3,4,6,0,0,0,1,1,2,0,0,2,1,E01018131
2.01E+12,524290,271920,-0.177406,52.331263,35,3,2,1,13/02/2012,2,08:00,393,E10000003,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01018138
2.01E+12,522580,272560,-0.202254,52.337398,35,3,2,2,14/02/2012,3,09:02,393,E10000003,3,14,3,70,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01018151
2.01E+12,518450,260320,-0.267139,52.228312,35,3,2,1,16/02/2012,5,05:40,393,E10000003,4,1428,6,30,0,-1,-1,0,0,4,4,1,1,0,0,1,1,E01018187
2.01E+12,527720,269800,-0.127902,52.311426,35,3,2,1,16/02/2012,5,08:32,393,E10000003,3,14,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01018202
2.01E+12,518910,281400,-0.252961,52.417642,35,3,1,2,17/02/2012,6,10:00,393,E10000003,4,1090,6,60,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01018192
2.01E+12,518890,258240,-0.26143,52.209525,35,3,1,1,18/02/2012,7,06:23,393,E10000003,3,428,6,60,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01018135
2.01E+12,519120,259570,-0.257598,52.221428,35,3,2,1,16/02/2012,5,07:50,393,E10000003,6,0,6,30,0,-1,-1,0,0,0,1,9,1,0,0,1,2,E01018186
2.01E+12,516140,289930,-0.290705,52.494889,35,3,3,2,19/02/2012,1,11:48,393,E10000003,5,99,6,30,3,4,6,0,0,0,1,1,1,0,0,2,1,E01018201
2.01E+12,529920,268980,-0.095965,52.303542,35,2,1,3,19/02/2012,1,17:15,393,E10000003,3,14,3,70,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01018204
2.01E+12,534070,281660,-0.030076,52.416476,35,2,2,1,21/02/2012,3,07:29,393,E10000003,3,141,6,60,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01018209
2.01E+12,525880,290310,-0.14717,52.496145,35,3,3,5,22/02/2012,4,14:25,393,E10000003,4,1040,6,60,8,4,6,0,0,0,1,4,1,0,0,2,1,E01018157
2.01E+12,530290,269010,-0.09053,52.303724,35,3,2,1,23/02/2012,5,11:05,393,E10000003,3,1096,6,60,3,4,3,14,0,0,1,1,1,0,0,2,1,E01018129
2.01E+12,529500,269140,-0.10206,52.305079,35,3,2,1,23/02/2012,5,12:45,393,E10000003,3,14,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,2,E01018204
2.01E+12,537180,274480,0.012686,52.351195,35,3,2,2,23/02/2012,5,18:29,393,E10000003,3,1123,6,40,3,4,6,0,0,0,4,1,1,0,0,2,1,E01018124
2.01E+12,517070,283600,-0.279233,52.437809,35,3,1,1,24/02/2012,6,13:26,393,E10000003,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01018195
2.01E+12,518950,292850,-0.248291,52.520523,35,3,2,1,26/02/2012,1,09:43,393,E10000003,4,1091,6,30,3,4,6,0,0,0,1,9,1,0,0,2,2,E01018215
2.01E+12,519420,293330,-0.241196,52.524733,35,3,1,1,28/02/2012,3,10:50,393,E10000003,4,1091,6,40,8,4,6,0,0,0,1,1,1,0,0,2,1,E01018213
2.01E+12,531200,268560,-0.077367,52.299464,35,2,1,1,28/02/2012,3,17:10,393,E10000003,3,14,3,70,9,4,5,121,0,0,1,1,2,0,0,2,1,E01018130
2.01E+12,518680,264710,-0.262232,52.267713,35,3,1,1,28/02/2012,3,17:48,393,E10000003,3,1,3,70,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01018119
2.01E+12,528250,285790,-0.114017,52.45498,35,3,2,1,01/03/2012,5,08:40,393,E10000003,4,1040,1,30,1,4,6,0,0,0,1,9,1,0,0,2,2,E01018159
2.01E+12,516580,284170,-0.286239,52.443035,35,3,2,3,02/03/2012,6,12:50,393,E10000003,5,101,6,30,8,4,6,0,0,0,1,1,1,0,0,2,1,E01018194
2.01E+12,513020,295760,-0.334661,52.547934,35,3,1,1,04/03/2012,1,12:57,393,E10000003,3,1,3,70,0,-1,-1,0,0,0,1,2,2,0,0,2,1,E01018127
2.01E+12,518900,281400,-0.253107,52.417645,35,3,1,1,04/03/2012,1,19:10,393,E10000003,4,1090,6,60,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01018192
2.01E+12,516950,258780,-0.289623,52.214793,35,3,2,1,29/02/2012,4,09:15,393,E10000003,4,1428,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01018178
2.01E+12,512460,288380,-0.345409,52.481731,35,3,2,2,06/03/2012,3,07:45,393,E10000003,5,97,6,60,6,4,5,93,0,0,1,1,1,0,0,2,1,E01018127
2.01E+12,519100,260320,-0.257627,52.228172,35,3,1,1,07/03/2012,4,17:00,393,E10000003,4,1428,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01018183
2.01E+12,527640,269830,-0.129063,52.311714,35,2,4,2,08/03/2012,5,08:55,393,E10000003,3,14,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01018202
2.01E+12,523160,259960,-0.198345,52.224045,35,3,3,2,08/03/2012,5,09:20,393,E10000003,3,428,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01018135
2.01E+12,510090,267760,-0.387063,52.296908,35,3,2,1,10/03/2012,7,09:40,393,E10000003,4,645,6,30,8,4,6,0,0,0,1,9,-1,0,0,2,2,E01018153
2.01E+12,538530,275090,0.032745,52.356336,35,3,1,1,10/03/2012,7,14:05,393,E10000003,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01018123
2.01E+12,520730,267380,-0.231251,52.29126,35,3,2,1,10/03/2012,7,20:43,393,E10000003,5,173,6,50,8,4,6,0,0,0,4,1,1,0,0,2,1,E01018119
2.01E+12,530770,273130,-0.081894,52.34063,35,3,1,1,11/03/2012,1,15:19,393,E10000003,6,0,6,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01018161
2.01E+12,512260,283130,-0.350118,52.434593,35,3,2,1,09/03/2012,6,21:30,393,E10000003,6,0,6,40,6,4,6,0,0,0,6,1,1,0,0,2,2,E01018192
