Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2.01E+12,544210,253910,0.107048,52.164584,35,3,2,1,17/02/2012,6,19:25,390,E10000003,3,1309,6,40,3,2,6,0,0,0,4,1,1,0,0,2,1,E01018003
2.01E+12,545480,257790,0.127266,52.19911,35,3,2,1,18/02/2012,7,12:59,390,E10000003,3,603,6,30,6,2,3,1307,0,5,1,9,1,0,0,1,2,E01018005
2.01E+12,544710,259700,0.116823,52.216473,35,3,2,1,22/02/2012,4,09:40,390,E10000003,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01017949
2.01E+12,545990,257290,0.134508,52.194483,35,3,2,1,09/02/2012,5,19:45,390,E10000003,6,0,6,30,3,4,6,0,0,0,4,9,1,0,0,1,2,E01018004
2.01E+12,545230,258220,0.123795,52.20304,35,3,2,1,11/02/2012,7,22:30,390,E10000003,5,295,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,2,E01017981
2.01E+12,544370,258980,0.111543,52.210093,35,3,2,1,25/02/2012,7,07:50,390,E10000003,3,1134,1,30,1,4,3,1303,0,0,1,1,1,0,0,1,1,E01017958
2.01E+12,545270,256920,0.123823,52.191349,35,2,2,1,26/02/2012,1,15:14,390,E10000003,3,1309,6,30,6,2,5,281,0,8,1,1,1,0,0,1,1,E01018004
2.01E+12,547260,256440,0.152705,52.186509,35,3,2,1,29/02/2012,4,07:12,390,E10000003,3,1134,1,30,1,4,5,235,0,4,1,1,2,0,0,1,2,E01017968
2.01E+12,543990,258320,0.105705,52.204263,35,2,1,1,02/03/2012,6,10:05,390,E10000003,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01017986
2.01E+12,547460,257500,0.15609,52.195979,35,3,2,1,02/03/2012,6,07:45,390,E10000003,3,1134,6,30,6,2,5,280,0,5,1,1,1,0,0,1,2,E01017999
2.01E+12,545650,257520,0.129636,52.19664,35,2,2,1,02/03/2012,6,16:20,390,E10000003,3,1307,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1,E01018005
2.01E+12,545190,257210,0.122778,52.193976,35,3,2,1,02/03/2012,6,16:19,390,E10000003,3,1134,6,30,0,-1,-1,0,0,4,1,8,1,0,0,2,1,E01018005
2.01E+12,547890,259320,0.16317,52.212215,35,3,2,1,03/03/2012,7,17:45,390,E10000003,3,1134,1,30,1,4,3,1303,0,4,1,1,1,0,0,1,1,E01017946
2.01E+12,547380,256430,0.154455,52.186388,35,3,2,2,03/03/2012,7,19:00,390,E10000003,5,235,6,30,3,4,6,0,0,4,4,1,1,0,0,1,1,E01017968
2.01E+12,547900,259050,0.163199,52.209787,35,3,1,1,06/03/2012,3,10:36,390,E10000003,3,1134,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01017947
2.01E+12,546170,258520,0.13767,52.205487,35,3,2,1,06/03/2012,3,16:00,390,E10000003,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01017989
2.01E+12,545200,256800,0.122748,52.19029,35,3,2,1,06/03/2012,3,19:20,390,E10000003,3,1309,6,30,8,4,6,0,0,0,4,1,1,0,0,1,1,E01018004
2.01E+12,541890,259420,0.075457,52.21469,35,2,2,1,08/03/2012,5,08:50,390,E10000003,3,1303,6,50,8,4,6,0,0,0,1,1,1,0,0,2,1,E01017984
2.01E+12,544560,259100,0.114373,52.211122,35,3,2,1,09/03/2012,6,09:35,390,E10000003,5,290,6,30,8,4,6,0,0,4,1,1,1,0,0,1,1,E01017958
2.01E+12,544630,257620,0.114765,52.197807,35,3,2,1,09/03/2012,6,10:58,390,E10000003,3,1134,6,30,0,-1,-1,0,0,4,1,1,1,0,0,2,1,E01017985
2.01E+12,545470,257810,0.127128,52.199293,35,3,2,1,09/03/2012,6,12:00,390,E10000003,3,603,6,30,6,2,3,1307,0,5,1,1,1,0,0,1,2,E01018005
2.01E+12,546000,257290,0.134654,52.194481,35,3,1,1,09/03/2012,6,17:15,390,E10000003,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01018004
2.01E+12,545880,257020,0.132783,52.192087,35,2,2,1,09/03/2012,6,17:20,390,E10000003,5,281,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01018004
2.01E+12,545440,258730,0.127085,52.207566,35,3,2,1,09/03/2012,6,07:57,390,E10000003,5,291,1,20,1,4,5,292,0,0,1,1,1,0,0,1,2,E01017982
2.01E+12,547120,257580,0.151154,52.196789,35,3,2,1,12/03/2012,2,08:45,390,E10000003,5,280,6,30,6,2,6,0,2,5,1,1,1,0,0,1,2,E01017999
2.01E+12,545440,258870,0.127145,52.208824,35,3,2,1,16/03/2012,6,11:43,390,E10000003,5,292,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01017982
2.01E+12,548650,256440,0.173023,52.186137,35,3,1,1,18/03/2012,1,18:10,390,E10000003,5,233,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01017959
2.01E+12,546710,260050,0.146229,52.219089,35,3,3,1,19/03/2012,2,08:30,390,E10000003,5,279,1,30,2,4,6,0,0,0,1,1,1,0,0,1,1,E01017974
2.01E+12,547990,255840,0.163114,52.180924,35,2,2,1,20/03/2012,3,08:17,390,E10000003,5,233,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01017995
