From,World 2007,World  2008,World  2009,North America 2007,North America 2008,North America 2009,Latin America 2007,Latin America 2008,Latin America 2009,Europe 2007,Europe 2008,Europe 2009,CIS 2007,CIS 2008,CIS 2009, Africa 2007, Africa 2008, Africa 2009,Middle East 2007,Middle East 2008,Middle East 2009,Asia 2007,Asia 2008,Asia 2009
Fuels and mining products,398.41,539.73,385.56,20.65,20.44,14.44,6.38,11.95,5.82,28.73,39.54,25.75,1.09,1.69,0.76,6.52,8.88,5.72,12.23,17.01,9.57,317.19,432.67,318.41
Manufactures,3100.21,3453.46,2849.53,694.33,713.61,577.34,77.80,103.30,80.69,634.19,700.78,550.98,73.45,99.71,51.05,73.55,94.20,80.59,124.57,164.40,136.49,1403.87,1552.71,1344.05
Total exports,3810.32,4372.37,3575.15,753.49,775.52,627.27,92.55,128.07,95.48,717.27,804.50,640.53,79.97,108.85,57.43,93.32,121.42,101.60,151.22,203.46,163.41,1891.43,2186.84,1846.43
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
